════════════════════════════════════════════════════════════════════════════════════════════════════
REPORTE DE MENSAJES - SID: 1769153212
════════════════════════════════════════════════════════════════════════════════════════════════════

📊 Resumen:
  • Total de mensajes: 199
  • Rango temporal: 2026-01-23 07:28:58.157 → 2026-01-23 10:42:41.708
  • Dispositivos únicos (SNU): 1

────────────────────────────────────────────────────────────────────────────────────────────────────

Timestamp                 | SNU                                      | TSP             | LOG   | DVS   | LID       
--------------------------+------------------------------------------+-----------------+-------+-------+-----------
2026-01-23 07:28:58.157   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153212      | 8     | 3     | 12        
2026-01-23 07:29:00.362   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153264      | 1     | 3     | 13        
2026-01-23 07:29:02.412   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153324      | 1     | 3     | 14        
2026-01-23 07:31:43.274   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153384      | 1     | 3     | 15        
2026-01-23 07:31:45.527   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153445      | 1     | 3     | 16        
2026-01-23 07:31:47.426   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153505      | 1     | 3     | 17        
2026-01-23 07:34:34.778   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153566      | 1     | 3     | 18        
2026-01-23 07:34:36.707   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153626      | 1     | 3     | 19        
2026-01-23 07:37:17.263   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153686      | 1     | 3     | 20        
2026-01-23 07:37:19.569   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153747      | 1     | 3     | 21        
2026-01-23 07:37:21.563   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153807      | 1     | 3     | 22        
2026-01-23 07:40:16.861   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153867      | 1     | 3     | 23        
2026-01-23 07:40:17.783   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153928      | 1     | 3     | 24        
2026-01-23 07:40:19.857   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769153988      | 1     | 3     | 25        
2026-01-23 07:42:59.569   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154049      | 1     | 3     | 26        
2026-01-23 07:43:01.719   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154109      | 1     | 3     | 27        
2026-01-23 07:43:03.869   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154169      | 1     | 3     | 28        
2026-01-23 07:45:50.475   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154230      | 1     | 3     | 29        
2026-01-23 07:45:52.822   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154290      | 1     | 3     | 30        
2026-01-23 07:45:54.765   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154350      | 1     | 3     | 31        
2026-01-23 07:48:28.949   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154411      | 1     | 3     | 32        
2026-01-23 07:48:29.934   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154471      | 1     | 3     | 33        
2026-01-23 07:51:18.012   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154532      | 1     | 3     | 34        
2026-01-23 07:51:20.161   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154592      | 1     | 3     | 35        
2026-01-23 07:51:22.005   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154652      | 1     | 3     | 36        
2026-01-23 07:53:38.602   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154713      | 1     | 3     | 37        
2026-01-23 07:53:40.753   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154773      | 1     | 3     | 38        
2026-01-23 07:56:22.996   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154833      | 1     | 3     | 39        
2026-01-23 07:56:25.155   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154894      | 1     | 3     | 40        
2026-01-23 07:56:27.254   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769154954      | 1     | 3     | 41        
2026-01-23 07:58:23.305   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155015      | 1     | 3     | 42        
2026-01-23 07:58:25.465   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155039      | 13    | 3     | 43        
2026-01-23 07:58:27.563   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155075      | 1     | 3     | 44        
2026-01-23 08:00:23.534   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155135      | 1     | 3     | 45        
2026-01-23 08:00:25.932   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155196      | 1     | 3     | 46        
2026-01-23 08:03:06.810   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155256      | 1     | 3     | 47        
2026-01-23 08:03:08.970   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155316      | 1     | 3     | 48        
2026-01-23 08:03:11.094   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155377      | 1     | 3     | 49        
2026-01-23 08:05:51.442   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155437      | 1     | 3     | 50        
2026-01-23 08:05:53.684   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155498      | 1     | 3     | 51        
2026-01-23 08:09:04.046   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155558      | 1     | 3     | 52        
2026-01-23 08:09:05.839   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155618      | 1     | 3     | 53        
2026-01-23 08:09:08.080   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155679      | 1     | 3     | 54        
2026-01-23 08:09:10.427   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155739      | 1     | 3     | 55        
2026-01-23 08:11:05.103   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155799      | 1     | 3     | 56        
2026-01-23 08:11:07.022   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155860      | 1     | 3     | 57        
2026-01-23 08:13:09.574   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155920      | 1     | 3     | 58        
2026-01-23 08:13:11.526   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769155981      | 1     | 3     | 59        
2026-01-23 08:15:27.946   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156041      | 1     | 3     | 60        
2026-01-23 08:15:30.212   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156101      | 1     | 3     | 61        
2026-01-23 08:18:21.715   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156162      | 1     | 3     | 62        
2026-01-23 08:18:23.555   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156222      | 1     | 3     | 63        
2026-01-23 08:18:25.784   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156282      | 1     | 3     | 64        
2026-01-23 08:20:35.381   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156343      | 1     | 3     | 65        
2026-01-23 08:20:37.504   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156403      | 1     | 3     | 66        
2026-01-23 08:23:26.220   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156464      | 1     | 3     | 67        
2026-01-23 08:23:28.161   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156524      | 1     | 3     | 68        
2026-01-23 08:23:30.177   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156584      | 1     | 3     | 69        
2026-01-23 08:25:33.373   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156645      | 1     | 3     | 70        
2026-01-23 08:25:35.335   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156705      | 1     | 3     | 71        
2026-01-23 08:28:19.783   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156765      | 1     | 3     | 72        
2026-01-23 08:28:22.239   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156826      | 1     | 3     | 73        
2026-01-23 08:30:25.831   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769156947      | 1     | 3     | 75        
2026-01-23 08:30:27.825   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769157007      | 1     | 3     | 76        
2026-01-23 08:33:37.645   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769157067      | 1     | 3     | 77        
2026-01-23 08:33:39.731   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769157128      | 1     | 3     | 78        
2026-01-23 08:33:42.124   | 019929bf-ee7e-7a9e-b360-a60fbf480be5     | 1769157188      | 1     | 3     | 79        
