════════════════════════════════════════════════════════════════════════════════════════════════════
REPORTE DE MENSAJES - SID: 1769154816
════════════════════════════════════════════════════════════════════════════════════════════════════

📊 Resumen:
  • Total de mensajes: 194
  • Rango temporal: 2026-01-23 07:56:57.392 → 2026-01-23 11:02:56.330
  • Dispositivos únicos (SNU): 1

────────────────────────────────────────────────────────────────────────────────────────────────────

Timestamp                 | SNU                                      | TSP             | LOG   | DVS   | LID       
--------------------------+------------------------------------------+-----------------+-------+-------+-----------
2026-01-23 07:56:57.392   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769154816      | 8     | 3     | 13        
2026-01-23 07:56:59.503   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769154849      | 1     | 3     | 14        
2026-01-23 07:57:01.550   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769154909      | 1     | 3     | 15        
2026-01-23 07:57:03.701   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769154969      | 1     | 3     | 16        
2026-01-23 08:00:37.876   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155030      | 1     | 3     | 17        
2026-01-23 08:00:39.956   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155090      | 1     | 3     | 18        
2026-01-23 08:00:42.212   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155150      | 1     | 3     | 19        
2026-01-23 08:00:44.197   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155211      | 1     | 3     | 20        
2026-01-23 08:04:13.524   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155271      | 1     | 3     | 21        
2026-01-23 08:04:15.603   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155331      | 1     | 3     | 22        
2026-01-23 08:04:17.683   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155392      | 1     | 3     | 23        
2026-01-23 08:04:19.894   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155452      | 1     | 3     | 24        
2026-01-23 08:07:50.926   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155513      | 1     | 3     | 25        
2026-01-23 08:07:52.953   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155573      | 1     | 3     | 26        
2026-01-23 08:07:55.227   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155633      | 1     | 3     | 27        
2026-01-23 08:11:25.419   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155694      | 1     | 3     | 28        
2026-01-23 08:11:27.579   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155754      | 1     | 3     | 29        
2026-01-23 08:11:29.666   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155814      | 1     | 3     | 30        
2026-01-23 08:11:32.058   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155875      | 1     | 3     | 31        
2026-01-23 08:15:01.677   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155935      | 1     | 3     | 32        
2026-01-23 08:15:03.661   | 019929bf-ee7e-7e57-b647-68621e55a653     | 1769155996      | 1     | 3     | 33        
